				Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	
				matrix blank	STD0.05	STD0.08	STD0.12	STD0.2	STD0.75	STD2.25	matrix blank	0.4	0.2	0.15	0.1	0.05	matrix blank	
Raw.STD	0	Fe 259.940 {130} (Axial)	Y [cps]	4.5479109414785137	7.5571272602381132	5.29379394250434	4.4668742624515057	1.8179772525583606	7.820031224374282	80.017173246687918	7.4444165277349983	4.3979221824712	12.822484300147639	12.218657453834691	24.346188865560194	4.0572743566515257	3.6738797236663761	
Raw.RSD	0	Fe 238.204 {141} (Axial)	Y [%]	8.560716707500081	1.2608583109439357	0.75126790843227553	0.24432467150664197	0.39960512425419054	0.18449871379583643	0.67042403037607889	15.56178608732967	0.15455010062893296	0.42719702498727119	0.47835963942547066	1.1064339474361289	0.54791815992305326	5.5552664691847387	
Raw.RSD	0	Fe 239.562 {141} (Axial)	Y [%]	3.8278739002501756	0.99403916156401428	1.30388253095517	0.47175044105982117	0.27882174821030431	0.13500622956897831	0.76311423851491711	11.309517387892193	0.23039928096169243	0.28410264413668462	0.26704212206115596	0.59573200761990452	0.61326409670209592	2.8252909467966374	
Raw.RSD	0	Fe 240.488 {140} (Axial)	Y [%]	11.054552023195905	2.1173399864611633	1.5000517472840498	0.38868814006567587	0.54637599226616451	0.15264572281030553	0.59517802421062427	14.769184377910822	0.22380172806004481	0.611617157966094	0.37197027193040327	0.81361990348641833	1.1389580699243107	9.03070191296837	
Raw.RSD	0	Sc 424.683 {79} (Axial)	Y [%]	0.43844667610333848	0.35854995613618507	0.46417434173977251	0.13340971311474345	0.21163771967962208	0.10152852551121372	0.48551157133251266	0.28422027512554543	0.22237725202707842	0.33440551376707683	0.27084437496861208	0.26367638735239174	0.615567925732109	0.13864635836707714	
Raw.RSD	0	Fe 259.940 {130} (Axial)	Y [%]	12.301214090494465	2.0534065484853183	1.0171339749558468	0.54896555633990574	0.13421451035704854	0.16084279764423923	0.54783460200352108	9.0325585379154933	0.071670080895269633	0.42277390941213394	0.54000791083247457	1.4466517428254053	0.51256407795318926	8.6109309239711074	
Raw.Intensity	0	Fe 238.204 {141} (Axial)	Y [cps]	43.666833000665292	482.45690659212664	691.58966033966033	1114.8268884892086	1864.3397294956358	6809.07705376774	20824.344690913938	131.66833166833169	8815.4969884529637	4395.1919232307082	3299.431818181818	2455.2748669328012	1136.8619817661543	60.217065868263489	
Raw.Intensity	1	Fe 238.204 {141} (Axial)	Y [cps]	38.70118619218988	481.93014460882307	698.14051307679483	1109.3978891996271	1875.0374737683619	6785.34274529402	20547.383459772409	120.02074170331866	8841.5493543663488	4364.2135786421359	3271.3680014646161	2452.2689068637242	1148.3199327473696	55.404921364787469	
Raw.Intensity	2	Fe 238.204 {141} (Axial)	Y [cps]	37.135145941623364	492.79134212103054	701.94502766113453	1112.3275344931017	1878.7536224642749	6804.2562052307185	20673.788052891021	96.255247900839549	8821.5105830670927	4361.6043185828921	3273.2152375241521	2407.1184026389446	1146.9976837965739	54.298981426003479	
Raw.Intensity	0	Fe 239.562 {141} (Axial)	Y [cps]	35.969727212242105	324.01791953678753	458.03987678987676	713.69362843058877	1186.4485475381437	4282.3722433206749	13033.025662803091	94.1933066933068	5500.8859938105225	2732.0655071304814	2052.4579587079584	1534.6785595475712	713.64044719504886	48.089238190286096	
Raw.Intensity	1	Fe 239.562 {141} (Axial)	Y [cps]	38.265943622550935	320.45931627349057	447.82608695652175	719.78209481954991	1188.3806335565105	4271.8994669332	12836.483912291209	75.642659602825461	5506.9638578274762	2716.6991634169917	2044.4419479395513	1525.7056787164636	721.56120988147541	46.273157403705113	
